t,x,y,penDown
0.0000,0.0000,1.0000,0
0.0000,0.0000,1.0000,1
0.3600,0.3600,1.0000,1
0.3600,0.3600,1.0000,0
0.3750,0.3450,1.0000,0
0.3900,0.3300,1.0000,0
0.4050,0.3150,1.0000,0
0.4200,0.3000,1.0000,0
0.4350,0.2850,1.0000,0
0.4500,0.2700,1.0000,0
0.4650,0.2550,1.0000,0
0.4800,0.2400,1.0000,0
0.4950,0.2250,1.0000,0
0.5100,0.2100,1.0000,0
0.5250,0.1950,1.0000,0
0.5400,0.1800,1.0000,0
0.5400,0.1800,1.0000,1
1.1400,0.1800,0.4000,1
1.1400,0.1800,0.4000,0
1.1550,0.1650,0.4000,0
1.1700,0.1500,0.4000,0
1.1850,0.1350,0.4000,0
1.2000,0.1200,0.4000,0
1.2150,0.1050,0.4000,0
1.2300,0.0900,0.4000,0
1.2450,0.0750,0.4000,0
1.2600,0.0600,0.4000,0
1.2750,0.0450,0.4000,0
1.2900,0.0300,0.4000,0
1.3050,0.0150,0.4000,0
1.3200,0.0000,0.4000,0
1.3200,0.0000,0.4000,1
1.6800,0.3600,0.4000,1
1.6800,0.3600,0.4000,0
1.7722,0.4375,0.4500,0
1.8645,0.5150,0.5000,0
1.9567,0.5925,0.5500,0
2.0489,0.6700,0.6000,0
2.1411,0.7475,0.6500,0
2.2334,0.8250,0.7000,0
2.3256,0.9025,0.7500,0
2.4178,0.9800,0.8000,0
2.5101,1.0575,0.8500,0
2.6023,1.1350,0.9000,0
2.6945,1.2125,0.9500,0
2.7868,1.2900,1.0000,0
2.7868,1.2900,1.0000,1
3.3868,1.2900,0.4000,1
3.8368,1.7400,0.4000,1
3.8368,1.7400,0.4000,0
3.9075,1.7900,0.4500,0
3.9782,1.8400,0.5000,0
4.0489,1.8900,0.5500,0
4.1196,1.9400,0.6000,0
4.1903,1.9900,0.6500,0
4.2610,2.0400,0.7000,0
4.3317,2.0900,0.7500,0
4.4024,2.1400,0.8000,0
4.4731,2.1900,0.8500,0
4.5439,2.2400,0.9000,0
4.6146,2.2900,0.9500,0
4.6853,2.3400,1.0000,0
4.6853,2.3400,1.0000,1
4.9138,2.5500,0.9100,1
5.1322,2.6100,0.7000,1
5.3506,2.5500,0.4900,1
5.5790,2.3400,0.4000,1
5.8075,2.1300,0.4900,1
6.0259,2.0700,0.7000,1
6.2443,2.1300,0.9100,1
6.4728,2.3400,1.0000,1
6.4728,2.3400,1.0000,0
6.5178,2.3850,1.0000,0
6.5628,2.4300,1.0000,0
6.6078,2.4750,1.0000,0
6.6528,2.5200,1.0000,0
6.6978,2.5650,1.0000,0
6.7428,2.6100,1.0000,0
6.7878,2.6550,1.0000,0
6.8328,2.7000,1.0000,0
6.8778,2.7450,1.0000,0
6.9228,2.7900,1.0000,0
6.9678,2.8350,1.0000,0
7.0128,2.8800,1.0000,0
7.0128,2.8800,1.0000,1
7.6707,3.1500,0.4000,1
